[2026-07-22T03:29:55+0800] checkpoint-start total_singles=127 durable_singles=0 rubric_hash=c58d94232a71b5ff9f5ec4518f3e83dcba6c34938fa762818b21726544d82c5f
[2026-07-22T03:30:26+0800] checkpointed index=1/127 durable_singles=1 candidate=case-elife-25946-figure3-panelg-ded4af4ed3a3 status=rejected
[2026-07-22T03:30:49+0800] checkpointed index=2/127 durable_singles=2 candidate=case-elife-29307-figure2-panela-e30a36cfe4c0 status=rejected
[2026-07-22T03:31:08+0800] checkpointed index=3/127 durable_singles=3 candidate=case-elife-29307-figure2-paneld-90302e0a81e2 status=rejected
[2026-07-22T03:31:34+0800] checkpointed index=4/127 durable_singles=4 candidate=case-elife-35458-figure4-panelc-optogenetics-3744420822fe status=rejected
[2026-07-22T03:31:54+0800] checkpointed index=5/127 durable_singles=5 candidate=case-elife-49574-figure1-paneli-60674caf480a status=accepted
[2026-07-22T03:32:20+0800] checkpointed index=6/127 durable_singles=6 candidate=case-elife-49769-figure3-paneld-01ee0f85a8ee status=rejected
[2026-07-22T03:32:47+0800] checkpointed index=7/127 durable_singles=7 candidate=case-elife-49769-figure3-panelg-03a4bc71d200 status=rejected
[2026-07-22T03:33:04+0800] checkpointed index=8/127 durable_singles=8 candidate=case-elife-51998-figure3-panelg-38861df8ec4f status=rejected
[2026-07-22T03:33:24+0800] checkpointed index=9/127 durable_singles=9 candidate=case-elife-60515-figure3-panelc-5d62a2ace1b0 status=rejected
[2026-07-22T03:33:48+0800] checkpointed index=10/127 durable_singles=10 candidate=case-elife-70701-figure7-panela-47d55bbb75a4 status=rejected
[2026-07-22T03:34:04+0800] checkpointed index=11/127 durable_singles=11 candidate=case-elife-70701-figure7-panelb-71eefb8acf37 status=rejected
[2026-07-22T03:34:23+0800] checkpointed index=12/127 durable_singles=12 candidate=case-elife-73557-figure4-panela-2477c8ae599a status=rejected
[2026-07-22T03:34:40+0800] checkpointed index=13/127 durable_singles=13 candidate=case-elife-74056-figure1-panelb-ca8088d3ba33 status=rejected
[2026-07-22T03:35:05+0800] checkpointed index=14/127 durable_singles=14 candidate=case-elife-76380-figure4-panela-8c5376f28f20 status=rejected
[2026-07-22T03:35:22+0800] checkpointed index=15/127 durable_singles=15 candidate=case-elife-76380-figure4-panelb-9e62a3ff0dde status=rejected
[2026-07-22T03:35:41+0800] checkpointed index=16/127 durable_singles=16 candidate=case-elife-76380-figure4-paneld-60ab6d23547b status=rejected
[2026-07-22T03:35:57+0800] checkpointed index=17/127 durable_singles=17 candidate=case-elife-76380-figure4-panele-52afcb437315 status=rejected
[2026-07-22T03:36:24+0800] checkpointed index=18/127 durable_singles=18 candidate=case-elife-76541-figure3-panelg-374ac65c586a status=accepted
[2026-07-22T03:36:47+0800] checkpointed index=19/127 durable_singles=19 candidate=case-elife-78695-figure3-panelg-ddbe8cd85328 status=rejected
[2026-07-22T03:37:07+0800] checkpointed index=20/127 durable_singles=20 candidate=case-elife-81919-figure4-panela-7714c4771679 status=rejected
[2026-07-22T03:37:25+0800] checkpointed index=21/127 durable_singles=21 candidate=case-elife-81919-figure4-panelb-694d0ea004a5 status=rejected
[2026-07-22T03:37:42+0800] checkpointed index=22/127 durable_singles=22 candidate=case-elife-81919-figure4-panelc-7be6e5fca8f2 status=rejected
[2026-07-22T03:38:00+0800] checkpointed index=23/127 durable_singles=23 candidate=case-elife-81919-figure4-paneld-64ae6545c579 status=rejected
[2026-07-22T03:38:19+0800] checkpointed index=24/127 durable_singles=24 candidate=case-elife-82649-figure1-panelf-387a36204d06 status=rejected
[2026-07-22T03:38:42+0800] checkpointed index=25/127 durable_singles=25 candidate=case-elife-84209-figure2-panele-15426423ed77 status=accepted
[2026-07-22T03:39:02+0800] checkpointed index=26/127 durable_singles=26 candidate=case-elife-91609-figure2-paneld-e-58015e6b6bdd status=rejected
[2026-07-22T03:39:28+0800] checkpointed index=27/127 durable_singles=27 candidate=case-s41467-021-23324-4-figure3-panelg-cc373b32279c status=rejected
[2026-07-22T03:39:43+0800] checkpointed index=28/127 durable_singles=28 candidate=case-s41467-021-24293-4-figure3-panele-78f0cf8569ab status=rejected
[2026-07-22T03:40:00+0800] checkpointed index=29/127 durable_singles=29 candidate=case-s41467-021-24293-4-figure3-panelf-7c3e9ac48aba status=rejected
[2026-07-22T03:40:17+0800] checkpointed index=30/127 durable_singles=30 candidate=case-s41467-021-24293-4-figure3-panelg-0c53f20ad0ca status=rejected
[2026-07-22T03:40:36+0800] checkpointed index=31/127 durable_singles=31 candidate=case-s41467-021-24769-3-figure2-panelg-5d75bd08bc28 status=accepted
[2026-07-22T03:40:58+0800] checkpointed index=32/127 durable_singles=32 candidate=case-s41467-021-24769-3-figure2-panelh-7a0f680f0205 status=rejected
[2026-07-22T03:41:21+0800] checkpointed index=33/127 durable_singles=33 candidate=case-s41467-021-25829-4-figure6-panelc-08bafb15c0b8 status=rejected
[2026-07-22T03:41:56+0800] checkpointed index=34/127 durable_singles=34 candidate=case-s41467-022-28619-8-figure4-panelh-e5fb02df5abe status=rejected
[2026-07-22T03:42:12+0800] checkpointed index=35/127 durable_singles=35 candidate=case-s41467-022-29227-2-figure2-panelc-8503c1c81a61 status=rejected
[2026-07-22T03:42:35+0800] checkpointed index=36/127 durable_singles=36 candidate=case-s41467-022-30409-1-figure2-panelm-a621912948c3 status=rejected
[2026-07-22T03:42:52+0800] checkpointed index=37/127 durable_singles=37 candidate=case-s41467-022-30409-1-figure2-panelq-b6319323bfb0 status=rejected
[2026-07-22T03:43:09+0800] checkpointed index=38/127 durable_singles=38 candidate=case-s41467-022-32754-7-figure7-panelf-7fc1b764132a status=accepted
[2026-07-22T03:43:26+0800] checkpointed index=39/127 durable_singles=39 candidate=case-s41467-022-33803-x-figure7-panelb-8c7a94f86004 status=rejected
[2026-07-22T03:43:54+0800] checkpointed index=40/127 durable_singles=40 candidate=case-s41467-023-35832-6-figure2-panelf-2b1c7a1967cf status=rejected
[2026-07-22T03:44:09+0800] checkpointed index=41/127 durable_singles=41 candidate=case-s41467-023-35832-6-figure2-panelg-1cfd8481829f status=rejected
[2026-07-22T03:44:42+0800] checkpointed index=42/127 durable_singles=42 candidate=case-s41467-023-35832-6-figure7-panelc-74b50660411e status=rejected
[2026-07-22T03:45:12+0800] checkpointed index=43/127 durable_singles=43 candidate=case-s41467-023-36550-9-figure6-panelh-2604de198721 status=accepted
[2026-07-22T03:45:29+0800] checkpointed index=44/127 durable_singles=44 candidate=case-s41467-023-36635-5-figure3-panelc-cfe05e3968b0 status=rejected
[2026-07-22T03:46:13+0800] checkpointed index=45/127 durable_singles=45 candidate=case-s41467-023-38160-x-figure1-panela-123183d201d5 status=rejected
[2026-07-22T03:47:16+0800] checkpointed index=46/127 durable_singles=46 candidate=case-s41467-023-38160-x-figure1-panelb-fb2420cef4b4 status=rejected
[2026-07-22T03:48:00+0800] checkpointed index=47/127 durable_singles=47 candidate=case-s41467-023-38160-x-figure1-panelc-e6778fcb64f9 status=rejected
[2026-07-22T03:48:40+0800] checkpointed index=48/127 durable_singles=48 candidate=case-s41467-023-38160-x-figure1-paneld-485e077e11d8 status=rejected
[2026-07-22T03:49:27+0800] checkpointed index=49/127 durable_singles=49 candidate=case-s41467-023-38160-x-figure1-paneli-3df3c9817e3c status=rejected
[2026-07-22T03:50:22+0800] checkpointed index=50/127 durable_singles=50 candidate=case-s41467-023-38160-x-figure1-panelj-73181a5bc5f6 status=rejected
[2026-07-22T03:50:44+0800] checkpointed index=51/127 durable_singles=51 candidate=case-s41467-023-40378-8-figure4-panelk-a0810b3947dd status=rejected
[2026-07-22T03:51:00+0800] checkpointed index=52/127 durable_singles=52 candidate=case-s41467-024-46767-x-figure3-panelh-2d4ae63a5fbe status=rejected
[2026-07-22T03:51:27+0800] checkpointed index=53/127 durable_singles=53 candidate=case-s41467-024-48117-3-figure5-panelg-8ce1041d224f status=rejected
[2026-07-22T03:51:48+0800] checkpointed index=54/127 durable_singles=54 candidate=case-s41467-024-53917-8-figure5-panelc-53ef1f6a5a43 status=rejected
[2026-07-22T03:52:12+0800] checkpointed index=55/127 durable_singles=55 candidate=case-s41467-025-58773-8-figure4-paneld-494835f356d6 status=accepted
[2026-07-22T03:52:30+0800] checkpointed index=56/127 durable_singles=56 candidate=case-s44318-023-00005-0-figure1-panelg-df9d203c9122 status=accepted
[2026-07-22T03:52:41+0800] checkpointed index=57/127 durable_singles=57 candidate=case-s44318-023-00005-0-figure1-panelh-513248c811f2 status=accepted
[2026-07-22T03:52:58+0800] checkpointed index=58/127 durable_singles=58 candidate=case-s44318-023-00018-9-figure3-panelf-bb0934420d3f status=rejected
[2026-07-22T03:53:19+0800] checkpointed index=59/127 durable_singles=59 candidate=case-s44318-024-00067-8-figure4-paneld-1cf43de5ce8c status=rejected
