[2026-07-22T04:17:23+0800] checkpoint-start total_singles=76 durable_singles=0 rubric_hash=c58d94232a71b5ff9f5ec4518f3e83dcba6c34938fa762818b21726544d82c5f
[2026-07-22T04:17:58+0800] checkpointed index=1/76 durable_singles=1 candidate=case-elife-25946-figure3-panelg-ded4af4ed3a3 status=accepted
[2026-07-22T04:18:21+0800] checkpointed index=2/76 durable_singles=2 candidate=case-elife-70701-figure7-panela-47d55bbb75a4 status=rejected
[2026-07-22T04:18:35+0800] checkpointed index=3/76 durable_singles=3 candidate=case-elife-70701-figure7-panelb-71eefb8acf37 status=rejected
[2026-07-22T04:18:51+0800] checkpointed index=4/76 durable_singles=4 candidate=case-elife-74056-figure1-panelb-ca8088d3ba33 status=accepted
[2026-07-22T04:19:15+0800] checkpointed index=5/76 durable_singles=5 candidate=case-elife-76380-figure4-panela-8c5376f28f20 status=rejected
[2026-07-22T04:19:32+0800] checkpointed index=6/76 durable_singles=6 candidate=case-elife-76380-figure4-panelb-9e62a3ff0dde status=rejected
[2026-07-22T04:19:51+0800] checkpointed index=7/76 durable_singles=7 candidate=case-elife-76380-figure4-paneld-60ab6d23547b status=rejected
[2026-07-22T04:20:07+0800] checkpointed index=8/76 durable_singles=8 candidate=case-elife-76380-figure4-panele-52afcb437315 status=rejected
[2026-07-22T04:20:33+0800] checkpointed index=9/76 durable_singles=9 candidate=case-elife-78695-figure3-panelg-ddbe8cd85328 status=rejected
[2026-07-22T04:20:49+0800] checkpointed index=10/76 durable_singles=10 candidate=case-elife-81919-figure4-panela-7714c4771679 status=rejected
[2026-07-22T04:21:05+0800] checkpointed index=11/76 durable_singles=11 candidate=case-elife-81919-figure4-panelb-694d0ea004a5 status=rejected
[2026-07-22T04:21:21+0800] checkpointed index=12/76 durable_singles=12 candidate=case-elife-81919-figure4-panelc-7be6e5fca8f2 status=rejected
[2026-07-22T04:21:36+0800] checkpointed index=13/76 durable_singles=13 candidate=case-elife-81919-figure4-paneld-64ae6545c579 status=rejected
[2026-07-22T04:21:53+0800] checkpointed index=14/76 durable_singles=14 candidate=case-elife-84209-figure2-panele-15426423ed77 status=rejected
[2026-07-22T04:22:11+0800] checkpointed index=15/76 durable_singles=15 candidate=case-s41467-021-23324-4-figure3-panelg-cc373b32279c status=rejected
[2026-07-22T04:22:32+0800] checkpointed index=16/76 durable_singles=16 candidate=case-s41467-021-24293-4-figure3-panele-78f0cf8569ab status=rejected
[2026-07-22T04:22:45+0800] checkpointed index=17/76 durable_singles=17 candidate=case-s41467-021-24293-4-figure3-panelf-7c3e9ac48aba status=rejected
[2026-07-22T04:22:59+0800] checkpointed index=18/76 durable_singles=18 candidate=case-s41467-021-24293-4-figure3-panelg-0c53f20ad0ca status=rejected
[2026-07-22T04:23:28+0800] checkpointed index=19/76 durable_singles=19 candidate=case-s41467-021-24769-3-figure2-panelg-5d75bd08bc28 status=rejected
[2026-07-22T04:23:45+0800] checkpointed index=20/76 durable_singles=20 candidate=case-s41467-021-24769-3-figure2-panelh-7a0f680f0205 status=accepted
[2026-07-22T04:24:09+0800] checkpointed index=21/76 durable_singles=21 candidate=case-s41467-021-25829-4-figure6-panelc-08bafb15c0b8 status=rejected
[2026-07-22T04:24:26+0800] checkpointed index=22/76 durable_singles=22 candidate=case-s41467-022-33803-x-figure7-panelb-8c7a94f86004 status=rejected
[2026-07-22T04:24:48+0800] checkpointed index=23/76 durable_singles=23 candidate=case-s41467-023-35832-6-figure2-panelf-2b1c7a1967cf status=rejected
[2026-07-22T04:25:04+0800] checkpointed index=24/76 durable_singles=24 candidate=case-s41467-023-35832-6-figure2-panelg-1cfd8481829f status=rejected
[2026-07-22T04:25:35+0800] checkpointed index=25/76 durable_singles=25 candidate=case-s41467-023-35832-6-figure7-panelc-74b50660411e status=rejected
[2026-07-22T04:25:57+0800] checkpointed index=26/76 durable_singles=26 candidate=case-s41467-023-36550-9-figure6-panelh-2604de198721 status=accepted
[2026-07-22T04:26:25+0800] checkpointed index=27/76 durable_singles=27 candidate=case-s41467-023-36635-5-figure3-panelc-cfe05e3968b0 status=rejected
[2026-07-22T04:27:14+0800] checkpointed index=28/76 durable_singles=28 candidate=case-s41467-023-38160-x-figure1-panela-123183d201d5 status=rejected
[2026-07-22T04:27:54+0800] checkpointed index=29/76 durable_singles=29 candidate=case-s41467-023-38160-x-figure1-panelb-fb2420cef4b4 status=rejected
[2026-07-22T04:28:37+0800] checkpointed index=30/76 durable_singles=30 candidate=case-s41467-023-38160-x-figure1-panelc-e6778fcb64f9 status=rejected
[2026-07-22T04:29:22+0800] checkpointed index=31/76 durable_singles=31 candidate=case-s41467-023-38160-x-figure1-paneld-485e077e11d8 status=rejected
[2026-07-22T04:30:14+0800] checkpointed index=32/76 durable_singles=32 candidate=case-s41467-023-38160-x-figure1-paneli-3df3c9817e3c status=rejected
[2026-07-22T04:30:54+0800] checkpointed index=33/76 durable_singles=33 candidate=case-s41467-023-38160-x-figure1-panelj-73181a5bc5f6 status=rejected
[2026-07-22T04:31:25+0800] checkpointed index=34/76 durable_singles=34 candidate=case-s41467-023-40378-8-figure4-panelk-a0810b3947dd status=rejected
[2026-07-22T04:31:37+0800] checkpointed index=35/76 durable_singles=35 candidate=case-s41467-024-46767-x-figure3-panelh-2d4ae63a5fbe status=rejected
[2026-07-22T04:32:04+0800] checkpointed index=36/76 durable_singles=36 candidate=case-s41467-024-48117-3-figure5-panelg-8ce1041d224f status=rejected
[2026-07-22T04:32:26+0800] checkpointed index=37/76 durable_singles=37 candidate=case-s41467-025-58773-8-figure4-paneld-494835f356d6 status=accepted
[2026-07-22T04:32:40+0800] checkpointed index=38/76 durable_singles=38 candidate=case-s44318-023-00005-0-figure1-panelh-513248c811f2 status=accepted
[2026-07-22T04:33:02+0800] checkpointed index=39/76 durable_singles=39 candidate=case-s44318-024-00185-3-figure5-panele-survival-curve-replicate-1-35b0e5e25910 status=rejected
[2026-07-22T04:33:29+0800] checkpointed index=40/76 durable_singles=40 candidate=case-s44318-025-00570-6-figure1-panelb-9e33b138a892 status=rejected
[2026-07-22T04:33:48+0800] checkpointed index=41/76 durable_singles=41 candidate=case-s44319-024-00097-7-figure1-panelg-ff478fff2810 status=rejected
[2026-07-22T04:34:01+0800] checkpointed index=42/76 durable_singles=42 candidate=case-s44319-024-00097-7-figure1-panelh-cc63c2b7bf45 status=rejected
[2026-07-22T04:34:17+0800] checkpointed index=43/76 durable_singles=43 candidate=case-s44319-024-00176-9-figure4-panelb-9ab0d6d48f6a status=rejected
[2026-07-22T04:34:38+0800] checkpointed index=44/76 durable_singles=44 candidate=case-s44319-024-00227-1-figure10-panelb-5d7a0f9812ea status=rejected
[2026-07-22T04:34:56+0800] checkpointed index=45/76 durable_singles=45 candidate=case-s44319-024-00227-1-figure10-panelc-a8a89e7263ad status=accepted
[2026-07-22T04:35:08+0800] checkpointed index=46/76 durable_singles=46 candidate=case-s44319-024-00227-1-figure10-paneld-0129a2b1dfdd status=rejected
[2026-07-22T04:35:22+0800] checkpointed index=47/76 durable_singles=47 candidate=case-s44319-024-00227-1-figure10-panele-41337d9e540c status=rejected
[2026-07-22T04:35:39+0800] checkpointed index=48/76 durable_singles=48 candidate=case-s44319-024-00227-1-figure10-panelh-9a01fd4cace0 status=rejected
[2026-07-22T04:35:58+0800] checkpointed index=49/76 durable_singles=49 candidate=case-s44319-024-00227-1-figure10-paneli-e5def79424ab status=rejected
