[2026-07-22T08:28:50+0800] checkpoint-start total_singles=124 durable_singles=0 rubric_hash=46b3d7fe022f0ce17207dc822c2a8abbe309b2bf3308c1f0853b49cd8afc3c36
[2026-07-22T08:29:15+0800] checkpointed index=1/124 durable_singles=1 candidate=case-elife-25730-figure1-panelf-19b70c561c57 status=accepted
[2026-07-22T08:29:30+0800] checkpointed index=2/124 durable_singles=2 candidate=case-elife-25730-figure1-panelg-1d99b9aaf28d status=accepted
[2026-07-22T08:29:44+0800] checkpointed index=3/124 durable_singles=3 candidate=case-elife-25730-figure1-panelh-559dd5d60c4b status=accepted
[2026-07-22T08:29:56+0800] checkpointed index=4/124 durable_singles=4 candidate=case-elife-25730-figure1-paneli-4af98603888f status=accepted
[2026-07-22T08:30:10+0800] checkpointed index=5/124 durable_singles=5 candidate=case-elife-25730-figure1-panell-a5e155441b79 status=rejected
[2026-07-22T08:30:31+0800] checkpointed index=6/124 durable_singles=6 candidate=case-elife-29854-figure10-paneld-e2f9bae1bbe9 status=rejected
[2026-07-22T08:30:45+0800] checkpointed index=7/124 durable_singles=7 candidate=case-elife-29854-figure10-panelh-a0f5b9b64eff status=rejected
[2026-07-22T08:31:01+0800] checkpointed index=8/124 durable_singles=8 candidate=case-elife-29854-figure10-paneli-753e03703f99 status=rejected
[2026-07-22T08:31:28+0800] checkpointed index=9/124 durable_singles=9 candidate=case-elife-29854-figure10-panelj-3d8fde941332 status=rejected
[2026-07-22T08:31:45+0800] checkpointed index=10/124 durable_singles=10 candidate=case-elife-29854-figure10-panelk-6bd6be061a85 status=rejected
[2026-07-22T08:31:57+0800] checkpointed index=11/124 durable_singles=11 candidate=case-elife-29854-figure10-panell-ad7c02be8282 status=rejected
[2026-07-22T08:32:08+0800] checkpointed index=12/124 durable_singles=12 candidate=case-elife-29854-figure10-panelo-c0ffa59eda7e status=rejected
[2026-07-22T08:32:21+0800] checkpointed index=13/124 durable_singles=13 candidate=case-elife-29854-figure10-panelp-f237cd5760ff status=rejected
[2026-07-22T08:32:33+0800] checkpointed index=14/124 durable_singles=14 candidate=case-elife-29854-figure10-panelq-a79e66827adb status=rejected
[2026-07-22T08:32:47+0800] checkpointed index=15/124 durable_singles=15 candidate=case-elife-29854-figure10-panelr-ddab17aeda0f status=rejected
[2026-07-22T08:33:01+0800] checkpointed index=16/124 durable_singles=16 candidate=case-elife-29854-figure10-panels-0b53e6ef7674 status=rejected
[2026-07-22T08:33:14+0800] checkpointed index=17/124 durable_singles=17 candidate=case-elife-29854-figure10-panelt-ea584ab6570d status=rejected
[2026-07-22T08:33:33+0800] checkpointed index=18/124 durable_singles=18 candidate=case-elife-38114-figure1-panelb-565cb25c6206 status=rejected
[2026-07-22T08:33:52+0800] checkpointed index=19/124 durable_singles=19 candidate=case-elife-38114-figure1-panelc-e3fe77563228 status=rejected
[2026-07-22T08:34:12+0800] checkpointed index=20/124 durable_singles=20 candidate=case-elife-38114-figure1-panele-bd0f7836ac45 status=rejected
[2026-07-22T08:34:33+0800] checkpointed index=21/124 durable_singles=21 candidate=case-elife-38114-figure1-panelf-1fb5f8e79c57 status=rejected
[2026-07-22T08:34:58+0800] checkpointed index=22/124 durable_singles=22 candidate=case-elife-38114-figure1-panelh-3505923f13dd status=rejected
[2026-07-22T08:35:15+0800] checkpointed index=23/124 durable_singles=23 candidate=case-elife-38114-figure1-paneli-6a08601e3336 status=rejected
[2026-07-22T08:35:29+0800] checkpointed index=24/124 durable_singles=24 candidate=case-elife-38114-figure1-panelk-dae7a40bb82f status=rejected
[2026-07-22T08:35:42+0800] checkpointed index=25/124 durable_singles=25 candidate=case-elife-38114-figure1-panell-f1d71c20bec5 status=rejected
[2026-07-22T08:35:59+0800] checkpointed index=26/124 durable_singles=26 candidate=case-elife-49574-figure1-panelf-bbfe7b898332 status=accepted
[2026-07-22T08:36:12+0800] checkpointed index=27/124 durable_singles=27 candidate=case-elife-49574-figure1-panelg-83da880b5947 status=accepted
[2026-07-22T08:36:25+0800] checkpointed index=28/124 durable_singles=28 candidate=case-elife-49574-figure1-panelh-a8da8fad4b5c status=accepted
[2026-07-22T08:36:38+0800] checkpointed index=29/124 durable_singles=29 candidate=case-elife-49574-figure1-paneli-60674caf480a status=accepted
[2026-07-22T08:36:54+0800] checkpointed index=30/124 durable_singles=30 candidate=case-elife-49574-figure1-panelj-0567a120d0db status=accepted
[2026-07-22T08:37:07+0800] checkpointed index=31/124 durable_singles=31 candidate=case-elife-49574-figure1-panelk-a0928a2c78f3 status=accepted
[2026-07-22T08:37:33+0800] checkpointed index=32/124 durable_singles=32 candidate=case-elife-50580-figure4-panelc-cceaa2de1021 status=rejected
[2026-07-22T08:37:44+0800] checkpointed index=33/124 durable_singles=33 candidate=case-elife-50580-figure4-paneld-9b844f818363 status=rejected
[2026-07-22T08:37:59+0800] checkpointed index=34/124 durable_singles=34 candidate=case-elife-50580-figure4-panele-f2aa2859a8de status=accepted
[2026-07-22T08:38:20+0800] checkpointed index=35/124 durable_singles=35 candidate=case-elife-50580-figure4-panelg-61acfe89159c status=rejected
[2026-07-22T08:38:34+0800] checkpointed index=36/124 durable_singles=36 candidate=case-elife-50580-figure4-panelh-b8aa5d9a888b status=rejected
[2026-07-22T08:38:50+0800] checkpointed index=37/124 durable_singles=37 candidate=case-elife-50580-figure4-paneli-f51e05737b3e status=accepted
[2026-07-22T08:39:04+0800] checkpointed index=38/124 durable_singles=38 candidate=case-elife-50580-figure4-panelk-b70f4acf873f status=rejected
[2026-07-22T08:39:20+0800] checkpointed index=39/124 durable_singles=39 candidate=case-elife-50580-figure4-panell-def79f004b06 status=rejected
[2026-07-22T08:39:35+0800] checkpointed index=40/124 durable_singles=40 candidate=case-elife-50580-figure4-panelm-764151b72896 status=accepted
[2026-07-22T08:39:51+0800] checkpointed index=41/124 durable_singles=41 candidate=case-elife-50580-figure4-paneln-5ee774a0246a status=accepted
[2026-07-22T08:40:10+0800] checkpointed index=42/124 durable_singles=42 candidate=case-elife-76541-figure3-panelg-374ac65c586a status=rejected
[2026-07-22T08:40:25+0800] checkpointed index=43/124 durable_singles=43 candidate=case-elife-76541-figure3-panelh-d4cc514d98ca status=rejected
[2026-07-22T08:40:43+0800] checkpointed index=44/124 durable_singles=44 candidate=case-elife-76541-figure3-paneli-e78d43bff6cd status=rejected
[2026-07-22T08:40:59+0800] checkpointed index=45/124 durable_singles=45 candidate=case-elife-76541-figure3-panelj-ff516c4ef786 status=rejected
[2026-07-22T08:41:12+0800] checkpointed index=46/124 durable_singles=46 candidate=case-elife-76541-figure3-panelo-e4ffade6ce13 status=rejected
[2026-07-22T08:41:29+0800] checkpointed index=47/124 durable_singles=47 candidate=case-elife-76541-figure3-panelp-f9cb9142ca05 status=accepted
[2026-07-22T08:41:53+0800] checkpointed index=48/124 durable_singles=48 candidate=case-s41467-023-36967-2-figure3-panelc-9058b83d26ed status=rejected
[2026-07-22T08:42:07+0800] checkpointed index=49/124 durable_singles=49 candidate=case-s41467-023-36967-2-figure3-paneld-fa40ba32ed94 status=rejected
[2026-07-22T08:42:23+0800] checkpointed index=50/124 durable_singles=50 candidate=case-s41467-023-36967-2-figure3-panele-711a5172fc8c status=rejected
[2026-07-22T08:42:40+0800] checkpointed index=51/124 durable_singles=51 candidate=case-s41467-023-36967-2-figure3-panelf-e971c16d866a status=rejected
[2026-07-22T08:42:57+0800] checkpointed index=52/124 durable_singles=52 candidate=case-s41467-023-36967-2-figure3-panelg-6811f020447b status=rejected
[2026-07-22T08:43:13+0800] checkpointed index=53/124 durable_singles=53 candidate=case-s41467-023-36967-2-figure3-panelh-796e496d5737 status=rejected
[2026-07-22T08:43:35+0800] checkpointed index=54/124 durable_singles=54 candidate=case-s41467-023-37432-w-figure2-panela-e3f550b2c503 status=rejected
[2026-07-22T08:43:53+0800] checkpointed index=55/124 durable_singles=55 candidate=case-s41467-023-37432-w-figure2-panele-f8a52beb6396 status=rejected
[2026-07-22T08:44:11+0800] checkpointed index=56/124 durable_singles=56 candidate=case-s41467-023-37432-w-figure2-panelf-e560dbbd3982 status=rejected
[2026-07-22T08:44:35+0800] checkpointed index=57/124 durable_singles=57 candidate=case-s41467-023-37432-w-figure2-panelg-b71d500b2e2f status=rejected
[2026-07-22T08:44:52+0800] checkpointed index=58/124 durable_singles=58 candidate=case-s41467-023-37432-w-figure2-panelh-433e092bfc2f status=rejected
[2026-07-22T08:45:36+0800] checkpointed index=59/124 durable_singles=59 candidate=case-s41467-023-38160-x-figure1-panela-123183d201d5 status=accepted
[2026-07-22T08:46:17+0800] checkpointed index=60/124 durable_singles=60 candidate=case-s41467-023-38160-x-figure1-panelb-fb2420cef4b4 status=rejected
[2026-07-22T08:47:00+0800] checkpointed index=61/124 durable_singles=61 candidate=case-s41467-023-38160-x-figure1-panelc-e6778fcb64f9 status=accepted
[2026-07-22T08:47:47+0800] checkpointed index=62/124 durable_singles=62 candidate=case-s41467-023-38160-x-figure1-paneld-485e077e11d8 status=accepted
[2026-07-22T08:48:40+0800] checkpointed index=63/124 durable_singles=63 candidate=case-s41467-023-38160-x-figure1-panele-cba8f6d81b17 status=rejected
[2026-07-22T08:49:19+0800] checkpointed index=64/124 durable_singles=64 candidate=case-s41467-023-38160-x-figure1-panelf-8f69d1ffd9ba status=rejected
[2026-07-22T08:50:05+0800] checkpointed index=65/124 durable_singles=65 candidate=case-s41467-023-38160-x-figure1-panelg-eab31c081bab status=rejected
[2026-07-22T08:50:56+0800] checkpointed index=66/124 durable_singles=66 candidate=case-s41467-023-38160-x-figure1-panelh-9ad2b0a6c65c status=rejected
[2026-07-22T08:51:47+0800] checkpointed index=67/124 durable_singles=67 candidate=case-s41467-023-38160-x-figure1-paneli-3df3c9817e3c status=accepted
[2026-07-22T08:52:29+0800] checkpointed index=68/124 durable_singles=68 candidate=case-s41467-023-38160-x-figure1-panelj-73181a5bc5f6 status=accepted
[2026-07-22T08:53:02+0800] checkpointed index=69/124 durable_singles=69 candidate=case-s44319-024-00227-1-figure10-panelb-5d7a0f9812ea status=accepted
[2026-07-22T08:53:21+0800] checkpointed index=70/124 durable_singles=70 candidate=case-s44319-024-00227-1-figure10-panelc-a8a89e7263ad status=rejected
[2026-07-22T08:53:32+0800] checkpointed index=71/124 durable_singles=71 candidate=case-s44319-024-00227-1-figure10-paneld-0129a2b1dfdd status=rejected
[2026-07-22T08:53:48+0800] checkpointed index=72/124 durable_singles=72 candidate=case-s44319-024-00227-1-figure10-panele-41337d9e540c status=rejected
[2026-07-22T08:54:05+0800] checkpointed index=73/124 durable_singles=73 candidate=case-s44319-024-00227-1-figure10-panelg-13f694dbcdc2 status=accepted
[2026-07-22T08:54:27+0800] checkpointed index=74/124 durable_singles=74 candidate=case-s44319-024-00227-1-figure10-panelh-9a01fd4cace0 status=rejected
