[2026-07-22T01:26:51.322512Z] start candidates=3 durable=0 input_sha256=cac3f955de62a5777a0476e4814d112b489ac67f0ecce33f2b56c592d07036f9
[2026-07-22T01:31:34.157543Z] checkpoint 1/3 candidate=multi-elife.101990-figure1-9f591366d870 status=accepted N_prime=1
[2026-07-22T01:32:00.798675Z] checkpoint 2/3 candidate=multi-elife.25730-figure1-9f2705cb6ac8 status=rejected N_prime=1
[2026-07-22T01:33:33.738719Z] checkpoint 3/3 candidate=multi-elife.29854-figure10-11c70ff0c58d status=rejected N_prime=1
[2026-07-22T01:34:07.314737Z] start candidates=20 durable=3 input_sha256=cac3f955de62a5777a0476e4814d112b489ac67f0ecce33f2b56c592d07036f9
[2026-07-22T01:34:43.412475Z] checkpoint 1/20 candidate=multi-elife.30057-figure4-3c6272ac1341 status=rejected N_prime=1
[2026-07-22T01:36:05.534343Z] checkpoint 2/20 candidate=multi-elife.38114-figure1-6e9d6cc49a6c status=accepted N_prime=2
[2026-07-22T01:36:30.425232Z] checkpoint 3/20 candidate=multi-elife.49574-figure1-a2051147c5bc status=accepted N_prime=3
[2026-07-22T01:37:04.399878Z] checkpoint 4/20 candidate=multi-elife.50580-figure4-248c7af1a663 status=rejected N_prime=3
[2026-07-22T01:37:48.426454Z] checkpoint 5/20 candidate=multi-elife.76541-figure3-3bc123fc139c status=accepted N_prime=4
[2026-07-22T01:38:23.258336Z] checkpoint 6/20 candidate=multi-elife.78294-figure3-1961f030e944 status=accepted N_prime=5
[2026-07-22T01:39:00.607495Z] checkpoint 7/20 candidate=multi-elife.86493-figure7-13febd4624a6 status=rejected N_prime=5
[2026-07-22T01:39:25.409788Z] checkpoint 8/20 candidate=multi-elife.92342-figure10-accf416e442d status=rejected N_prime=5
[2026-07-22T01:40:22.827941Z] checkpoint 9/20 candidate=multi-elife.92645-figure3-54efb54d7d6a status=rejected N_prime=5
[2026-07-22T01:41:09.024108Z] checkpoint 10/20 candidate=multi-elife.95944-figure1-ffb6d45a5164 status=rejected N_prime=5
[2026-07-22T01:41:39.370803Z] checkpoint 11/20 candidate=multi-elife.96718-figure1-5ede1f3a769a status=rejected N_prime=5
[2026-07-22T01:42:27.821962Z] checkpoint 12/20 candidate=multi-s41467-023-36967-2-figure3-72d966de4b57 status=rejected N_prime=5
[2026-07-22T01:43:01.804577Z] checkpoint 13/20 candidate=multi-s41467-023-37432-w-figure2-41c8449370cf status=rejected N_prime=5
[2026-07-22T01:44:00.453755Z] checkpoint 14/20 candidate=multi-s41467-023-38160-x-figure1-2aca30408ec7 status=rejected N_prime=5
[2026-07-22T01:44:29.221102Z] checkpoint 15/20 candidate=multi-s44319-024-00227-1-figure10-bbbd0fe8a0fe status=rejected N_prime=5
[2026-07-22T01:45:02.543570Z] checkpoint 16/20 candidate=multi-s44319-025-00373-0-figure3-7ece96d9ca7e status=accepted N_prime=6
[2026-07-22T01:45:47.407952Z] checkpoint 17/20 candidate=multi-s44319-025-00484-8-figure1-2170381abcc1 status=accepted N_prime=7
[2026-07-22T01:46:29.857501Z] checkpoint 18/20 candidate=multi-s44319-025-00503-8-figure4-d4d26148d349 status=rejected N_prime=7
[2026-07-22T01:47:06.236408Z] checkpoint 19/20 candidate=multi-s44321-025-00216-4-figure1-34424c25d4ff status=accepted N_prime=8
[2026-07-22T01:47:48.021640Z] checkpoint 20/20 candidate=multi-s44321-025-00233-3-figure3-521190fe8bfc status=accepted N_prime=9
